.feature,sample,expression
Plcd4,GSM2545348,972
Plcd4,GSM2545353,1054
Plcd4,GSM2545343,1039
Plcd4,GSM2545349,905
Plcd4,GSM2545354,967
Plcd4,GSM2545336,1150
Plcd4,GSM2545342,908
Plcd4,GSM2545351,1013
Plcd4,GSM2545380,1144
Plcd4,GSM2545341,1056
Plcd4,GSM2545346,966
Plcd4,GSM2545347,1219
Des,GSM2545337,45
Des,GSM2545338,59
Des,GSM2545348,84
Des,GSM2545353,79
Des,GSM2545343,59
Des,GSM2545349,76
Des,GSM2545354,60
Des,GSM2545336,74
Des,GSM2545342,59
Des,GSM2545351,58
Des,GSM2545380,84
Des,GSM2545341,40
Des,GSM2545346,65
Des,GSM2545347,69
Inha,GSM2545337,737
Inha,GSM2545338,772
Inha,GSM2545348,1039
Inha,GSM2545353,1255
Inha,GSM2545343,1199
Inha,GSM2545349,1091
Inha,GSM2545354,1037
Inha,GSM2545336,873
Inha,GSM2545342,779
Inha,GSM2545351,799
Inha,GSM2545380,991
Inha,GSM2545341,818
Inha,GSM2545346,713
Inha,GSM2545347,940
Gm32737,GSM2545337,0
Gm32737,GSM2545338,1
Gm32737,GSM2545348,2
Gm32737,GSM2545353,1
Gm32737,GSM2545343,1
Gm32737,GSM2545349,0
Gm32737,GSM2545354,0
Gm32737,GSM2545336,0
Gm32737,GSM2545342,2
Gm32737,GSM2545351,1
Gm32737,GSM2545380,0
Gm32737,GSM2545341,0
Gm32737,GSM2545346,0
Gm32737,GSM2545347,0
Gm33083,GSM2545337,1
Gm33083,GSM2545338,2
Gm33083,GSM2545348,1
Gm33083,GSM2545353,0
Gm33083,GSM2545343,0
Gm33083,GSM2545349,1
Gm33083,GSM2545354,1
Gm33083,GSM2545336,3
Gm33083,GSM2545342,0
Gm33083,GSM2545351,1
Gm33083,GSM2545380,0
Gm33083,GSM2545341,0
Gm33083,GSM2545346,1
Gm33083,GSM2545347,0
Acsl3,GSM2545337,6992
Acsl3,GSM2545338,6926
Acsl3,GSM2545348,7329
Acsl3,GSM2545353,7269
Acsl3,GSM2545343,8280
Acsl3,GSM2545349,6840
Acsl3,GSM2545354,7246
Acsl3,GSM2545336,9443
Acsl3,GSM2545342,6740
Acsl3,GSM2545351,8209
Acsl3,GSM2545380,8760
Acsl3,GSM2545341,6581
Acsl3,GSM2545346,7730
Acsl3,GSM2545347,7475
LOC105243961,GSM2545337,39
LOC105243961,GSM2545338,40
LOC105243961,GSM2545348,47
LOC105243961,GSM2545353,32
LOC105243961,GSM2545343,37
LOC105243961,GSM2545349,43
LOC105243961,GSM2545354,41
LOC105243961,GSM2545336,40
LOC105243961,GSM2545342,40
LOC105243961,GSM2545351,31
